path,timestamp,generated,future_path,future_timestamp,future_label,future_avg_reflectivity
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T00:00,2022-06-14 00-00-16,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T00:03,2022-06-14 00-03-42,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T00:10,2022-06-14 00-10-47,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T00:13,2022-06-14 00-13-31,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T00:20,2022-06-14 00-20-36,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T00:23,2022-06-14 00-23-20,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T00:30,2022-06-14 00-30-26,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T00:33,2022-06-14 00-33-10,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T00:40,2022-06-14 00-40-16,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T00:43,2022-06-14 00-43-41,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T00:50,2022-06-14 00-50-47,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T00:53,2022-06-14 00-53-30,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T01:00,2022-06-14 01-00-37,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T01:03,2022-06-14 01-03-21,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T01:10,2022-06-14 01-10-27,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T01:13,2022-06-14 01-13-10,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T01:20,2022-06-14 01-20-14,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T01:23,2022-06-14 01-23-40,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T01:30,2022-06-14 01-30-46,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T01:33,2022-06-14 01-33-29,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T01:40,2022-06-14 01-40-33,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T01:43,2022-06-14 01-43-17,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T01:50,2022-06-14 01-50-22,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T01:53,2022-06-14 01-53-05,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T02:00,2022-06-14 02-00-10,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T02:03,2022-06-14 02-03-36,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T02:10,2022-06-14 02-10-42,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T02:13,2022-06-14 02-13-26,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T02:20,2022-06-14 02-20-32,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T02:23,2022-06-14 02-23-16,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T02:30,2022-06-14 02-30-21,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T02:33,2022-06-14 02-33-05,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T02:40,2022-06-14 02-40-11,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T02:43,2022-06-14 02-43-36,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T02:50,2022-06-14 02-50-41,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T02:53,2022-06-14 02-53-26,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T03:00,2022-06-14 03-00-30,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T03:03,2022-06-14 03-03-14,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T03:10,2022-06-14 03-10-21,False,,,,
2022/Pro-Raw (14-23) T6- 2022/14/2022-06-14T03:13,2022-06-14 03-13-05,False,,,,
