path,timestamp,generated,future_path,future_timestamp,future_label,future_avg_reflectivity
2020/Pro-Raw(16-24)T7-2020/16/2020-07-16T00:00,2020-07-16 00-00-32,False,,,,
2020/Pro-Raw(16-24)T7-2020/16/2020-07-16T00:03,2020-07-16 00-03-51,False,,,,
2020/Pro-Raw(16-24)T7-2020/16/2020-07-16T00:10,2020-07-16 00-10-28,False,,,,
2020/Pro-Raw(16-24)T7-2020/16/2020-07-16T00:13,2020-07-16 00-13-46,False,,,,
2020/Pro-Raw(16-24)T7-2020/16/2020-07-16T00:20,2020-07-16 00-20-24,False,,,,
2020/Pro-Raw(16-24)T7-2020/16/2020-07-16T00:23,2020-07-16 00-23-42,False,,,,
2020/Pro-Raw(16-24)T7-2020/16/2020-07-16T00:30,2020-07-16 00-30-18,False,,,,
2020/Pro-Raw(16-24)T7-2020/16/2020-07-16T00:33,2020-07-16 00-33-37,False,,,,
2020/Pro-Raw(16-24)T7-2020/16/2020-07-16T00:40,2020-07-16 00-40-14,False,,,,
2020/Pro-Raw(16-24)T7-2020/16/2020-07-16T00:43,2020-07-16 00-43-33,False,,,,
2020/Pro-Raw(16-24)T7-2020/16/2020-07-16T00:50,2020-07-16 00-50-50,False,,,,
2020/Pro-Raw(16-24)T7-2020/16/2020-07-16T00:53,2020-07-16 00-53-28,False,,,,
2020/Pro-Raw(16-24)T7-2020/16/2020-07-16T01:00,2020-07-16 01-00-45,False,,,,
2020/Pro-Raw(16-24)T7-2020/16/2020-07-16T01:03,2020-07-16 01-03-23,False,,,,
2020/Pro-Raw(16-24)T7-2020/16/2020-07-16T01:10,2020-07-16 01-10-41,False,,,,
2020/Pro-Raw(16-24)T7-2020/16/2020-07-16T01:13,2020-07-16 01-13-19,False,,,,
2020/Pro-Raw(16-24)T7-2020/16/2020-07-16T01:20,2020-07-16 01-20-35,False,,,,
2020/Pro-Raw(16-24)T7-2020/16/2020-07-16T01:23,2020-07-16 01-23-53,False,,,,
2020/Pro-Raw(16-24)T7-2020/16/2020-07-16T01:30,2020-07-16 01-30-31,False,,,,
2020/Pro-Raw(16-24)T7-2020/16/2020-07-16T01:33,2020-07-16 01-33-49,False,,,,
2020/Pro-Raw(16-24)T7-2020/16/2020-07-16T01:40,2020-07-16 01-40-27,False,,,,
2020/Pro-Raw(16-24)T7-2020/16/2020-07-16T01:43,2020-07-16 01-43-45,False,,,,
2020/Pro-Raw(16-24)T7-2020/16/2020-07-16T01:50,2020-07-16 01-50-22,False,,,,
2020/Pro-Raw(16-24)T7-2020/16/2020-07-16T01:53,2020-07-16 01-53-40,False,,,,
2020/Pro-Raw(16-24)T7-2020/16/2020-07-16T02:00,2020-07-16 02-00-17,False,,,,
