epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,49,,,0.6875,0.8220233917236328,,
0,99,,,0.5625,0.9559211730957031,,
0,149,,,0.59375,0.8629016876220703,,
0,199,,,0.625,0.8059720993041992,,
0,249,,,0.5,1.0098676681518555,,
0,299,,,0.6875,0.6679592132568359,,
0,349,,,0.5,1.0764122009277344,,
0,399,,,0.71875,0.7575750350952148,,
0,449,,,0.5,1.1106805801391602,,
0,499,,,0.65625,0.7447080612182617,,
0,549,,,0.6875,0.604456901550293,,
0,599,,,0.75,0.6838927268981934,,
0,649,,,0.59375,0.6973743438720703,,
0,699,,,0.71875,0.6933698654174805,,
0,749,,,0.65625,0.7812135219573975,,
0,799,,,0.65625,0.7794313430786133,,
0,849,,,0.53125,0.8084664344787598,,
0,899,,,0.5625,0.9702634811401367,,
0,949,,,0.71875,0.6919434070587158,,
0,999,,,0.6875,0.7086482048034668,,
0,1049,,,0.8125,0.6555843353271484,,
0,1099,,,0.6875,0.8544092178344727,,
0,1149,,,0.59375,0.7905406951904297,,
0,1199,,,0.59375,0.9097995758056641,,
0,1249,,,0.8125,0.6262331008911133,,
0,1299,,,0.625,1.042191982269287,,
0,1349,,,0.46875,0.9061698913574219,,
0,1399,,,0.71875,0.676403820514679,,
0,1449,,,0.5625,0.9282302856445312,,
0,1499,,,0.625,1.1812913417816162,,
0,1549,,,0.625,0.8089919090270996,,
0,1599,,,0.5625,0.810821533203125,,
0,1649,,,0.75,0.5597949028015137,,
0,1699,,,0.6875,0.7525320053100586,,
0,1749,,,0.5625,0.9371037483215332,,
0,1799,,,0.71875,0.6921916007995605,,
0,1849,,,0.59375,1.012342095375061,,
0,1899,,,0.625,0.7209501266479492,,
0,1949,,,0.5,0.9666030406951904,,
0,1999,,,0.6875,0.7287096977233887,,
0,2049,,,0.65625,0.8382034301757812,,
0,2099,,,0.75,0.6989545822143555,,
0,2149,,,0.5,1.1130552291870117,,
0,2199,,,0.65625,0.7182226181030273,,
0,2249,,,0.5625,0.9430954456329346,,
0,2299,,,0.65625,0.6997623443603516,,
0,2349,,,0.65625,0.7591552734375,,
0,2399,,,0.6875,0.7640929222106934,,
0,2449,,,0.71875,0.6977138519287109,,
0,2499,,,0.6875,0.7256159782409668,,
0,2549,,,0.625,0.9137353897094727,,
0,2599,,,0.53125,0.9049453735351562,,
0,2649,,,0.625,0.8616757392883301,,
0,2699,,,0.4375,1.5876846313476562,,
0,2749,,,0.75,0.6586456298828125,,
0,2799,,,0.5625,0.8934805393218994,,
0,2849,,,0.625,0.8316440582275391,,
0,2899,,,0.78125,0.6436876058578491,,
0,2949,,,0.65625,0.7631193995475769,,
0,2999,,,0.5,0.9532177448272705,,
0,3049,,,0.71875,0.7259066104888916,,
0,3099,,,0.6875,0.682560920715332,,
0,3126,,,,,0.6560201644897461,0.802259624004364
0,3149,,,0.65625,0.8300896286964417,,
0,3199,,,0.59375,0.7853895425796509,,
0,3249,,,0.5625,0.7682652473449707,,
0,3299,,,0.65625,0.8485593795776367,,
0,3349,,,0.75,0.7323498725891113,,
0,3399,,,0.71875,0.9651440382003784,,
0,3449,,,0.8125,0.642096757888794,,
0,3499,,,0.53125,0.791790246963501,,
0,3549,,,0.59375,0.8950223922729492,,
0,3599,,,0.65625,0.6886980533599854,,
0,3649,,,0.71875,0.7508430480957031,,
0,3699,,,0.59375,0.8097338676452637,,
0,3749,,,0.65625,0.7214155197143555,,
0,3799,,,0.71875,0.7381656169891357,,
0,3849,,,0.625,0.7701482772827148,,
0,3899,,,0.6875,0.8560330867767334,,
0,3949,,,0.78125,0.5671281814575195,,
0,3999,,,0.5,0.9108924865722656,,
0,4049,,,0.6875,0.7156229019165039,,
0,4099,,,0.5625,0.8874273300170898,,
0,4149,,,0.78125,0.7283875942230225,,
0,4199,,,0.6875,0.7019095420837402,,
0,4249,,,0.625,0.7907571792602539,,
0,4299,,,0.71875,0.6551380157470703,,
0,4349,,,0.5625,1.0546965599060059,,
0,4399,,,0.6875,0.8005865812301636,,
0,4449,,,0.65625,0.7726211547851562,,
0,4499,,,0.71875,0.623342752456665,,
0,4549,,,0.59375,0.8793413639068604,,
0,4599,,,0.5,0.8790662288665771,,
0,4649,,,0.625,0.7058684825897217,,
0,4699,,,0.40625,1.1220550537109375,,
